Countries or Regions,Currency Code,Price,Year 1 Proceeds,Year 2 Proceeds,Details
Afghanistan,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Albania,USD,6.99,4.08,4.95,(Price change will apply to existing subscribers)
Algeria,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Angola,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Anguilla,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Antigua and Barbuda,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Argentina,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Armenia,USD,6.99,4.08,4.95,(Price change will apply to existing subscribers)
Australia,AUD,9.99,6.36,7.72,(Price change will apply to existing subscribers)
Austria,EUR,6.99,4.08,4.95,(Price change will apply to existing subscribers)
Azerbaijan,USD,6.99,4.15,5.04,(Price change will apply to existing subscribers)
Bahamas,USD,6.99,4.45,5.4,(Price change will apply to existing subscribers)
Bahrain,USD,6.99,4.45,5.4,(Price change will apply to existing subscribers)
Barbados,USD,6.99,4.16,5.06,(Price change will apply to existing subscribers)
Belarus,USD,6.99,4.08,4.95,(Price change will apply to existing subscribers)
Belgium,EUR,6.99,4.04,4.91,(Price change will apply to existing subscribers)
Belize,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Benin,USD,6.99,4.15,5.04,(Price change will apply to existing subscribers)
Bermuda,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Bhutan,USD,5.99,3.99,4.85,(Price change will apply to existing subscribers)
Bolivia,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Bosnia and Herzegovina,EUR,6.99,4.18,5.08,(Price change will apply to existing subscribers)
Botswana,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Brazil,BRL,39.9,24.4,29.63,(Price change will apply to existing subscribers)
British Virgin Islands,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Brunei,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Bulgaria,EUR,6.99,4.08,4.95,(Price change will apply to existing subscribers)
Burkina Faso,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Cambodia,USD,6.99,4.45,5.4,(Price change will apply to existing subscribers)
Cameroon,USD,6.99,4.1,4.98,(Price change will apply to existing subscribers)
Canada,CAD,7.99,5.59,6.79,(Price change will apply to existing subscribers)
Cape Verde,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Cayman Islands,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Chad,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Chile,CLP,6990,4112,4993,(Price change will apply to existing subscribers)
China mainland,CNY,38.0,26.13,32.01,(Price change will apply to existing subscribers)
Colombia,COP,29900.0,17588.24,21357.14,(Price change will apply to existing subscribers)
"Congo, Democratic Republic of the",USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
"Congo, Republic of the",USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Costa Rica,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Côte d’Ivoire,USD,6.99,4.15,5.04,(Price change will apply to existing subscribers)
Croatia,EUR,6.99,3.91,4.75,(Price change will apply to existing subscribers)
Cyprus,EUR,6.99,4.11,4.99,(Price change will apply to existing subscribers)
Czech Republic,CZK,149.0,86.2,104.67,(Price change will apply to existing subscribers)
Denmark,DKK,49.0,27.44,33.32,(Price change will apply to existing subscribers)
Dominica,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Dominican Republic,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Ecuador,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Egypt,EGP,299.99,184.2,223.68,(Price change will apply to existing subscribers)
El Salvador,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Estonia,EUR,6.99,3.95,4.79,(Price change will apply to existing subscribers)
Eswatini,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Fiji,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Finland,EUR,6.99,3.9,4.73,(Price change will apply to existing subscribers)
France,EUR,6.99,4.08,4.95,(Price change will apply to existing subscribers)
Gabon,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Gambia,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Georgia,USD,6.99,4.15,5.04,(Price change will apply to existing subscribers)
Germany,EUR,6.99,4.11,4.99,(Price change will apply to existing subscribers)
Ghana,USD,6.99,4.08,4.95,(Price change will apply to existing subscribers)
Greece,EUR,6.99,3.95,4.79,(Price change will apply to existing subscribers)
Grenada,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
