Countries or Regions,Currency Code,Price,Year 1 Proceeds,Year 2 Proceeds,Details
Afghanistan,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Albania,USD,49.99,29.16,35.41,(Price change will apply to existing subscribers)
Algeria,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Angola,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Anguilla,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Antigua and Barbuda,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Argentina,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Armenia,USD,49.99,29.16,35.41,(Price change will apply to existing subscribers)
Australia,AUD,59.99,38.18,46.36,(Price change will apply to existing subscribers)
Austria,EUR,44.99,26.24,31.87,(Price change will apply to existing subscribers)
Azerbaijan,USD,49.99,29.66,36.01,(Price change will apply to existing subscribers)
Bahamas,USD,39.99,25.45,30.9,(Price change will apply to existing subscribers)
Bahrain,USD,39.99,25.45,30.9,(Price change will apply to existing subscribers)
Barbados,USD,49.99,29.78,36.16,(Price change will apply to existing subscribers)
Belarus,USD,49.99,29.16,35.41,(Price change will apply to existing subscribers)
Belgium,EUR,44.99,26.03,31.6,(Price change will apply to existing subscribers)
Belize,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Benin,USD,49.99,29.66,36.01,(Price change will apply to existing subscribers)
Bermuda,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Bhutan,USD,39.99,26.66,32.37,(Price change will apply to existing subscribers)
Bolivia,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Bosnia and Herzegovina,EUR,44.99,26.92,32.69,(Price change will apply to existing subscribers)
Botswana,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Brazil,BRL,249.9,152.85,185.6,(Price change will apply to existing subscribers)
British Virgin Islands,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Brunei,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Bulgaria,EUR,44.99,26.24,31.87,(Price change will apply to existing subscribers)
Burkina Faso,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Cambodia,USD,39.99,25.45,30.9,(Price change will apply to existing subscribers)
Cameroon,USD,49.99,29.34,35.63,(Price change will apply to existing subscribers)
Canada,CAD,49.99,34.99,42.49,(Price change will apply to existing subscribers)
Cape Verde,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Cayman Islands,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Chad,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Chile,CLP,49990,29406,35707,(Price change will apply to existing subscribers)
China mainland,CNY,298.0,204.91,251.04,(Price change will apply to existing subscribers)
Colombia,COP,199900.0,117588.24,142785.71,(Price change will apply to existing subscribers)
"Congo, Democratic Republic of the",USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
"Congo, Republic of the",USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Costa Rica,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Côte d’Ivoire,USD,49.99,29.66,36.01,(Price change will apply to existing subscribers)
Croatia,EUR,44.99,25.19,30.59,(Price change will apply to existing subscribers)
Cyprus,EUR,44.99,26.46,32.14,(Price change will apply to existing subscribers)
Czech Republic,CZK,999.0,577.93,701.78,(Price change will apply to existing subscribers)
Denmark,DKK,349.0,195.44,237.32,(Price change will apply to existing subscribers)
Dominica,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Dominican Republic,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Ecuador,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Egypt,EGP,1999.99,1228.06,1491.22,(Price change will apply to existing subscribers)
El Salvador,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Estonia,EUR,44.99,25.4,30.84,(Price change will apply to existing subscribers)
Eswatini,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Fiji,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Finland,EUR,44.99,25.09,30.47,(Price change will apply to existing subscribers)
France,EUR,44.99,26.24,31.87,(Price change will apply to existing subscribers)
Gabon,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Gambia,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Georgia,USD,49.99,29.66,36.01,(Price change will apply to existing subscribers)
Germany,EUR,44.99,26.46,32.14,(Price change will apply to existing subscribers)
Ghana,USD,49.99,29.16,35.41,(Price change will apply to existing subscribers)
Greece,EUR,44.99,25.4,30.84,(Price change will apply to existing subscribers)
Grenada,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Guatemala,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Guinea-Bissau,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Guyana,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Honduras,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Hong Kong,HKD,288.0,201.6,244.8,(Price change will apply to existing subscribers)
Hungary,HUF,17990,9916,12041,(Price change will apply to existing subscribers)
Iceland,USD,49.99,28.22,34.27,(Price change will apply to existing subscribers)
India,INR,3999.0,2372.29,2880.64,(Price change will apply to existing subscribers)
Indonesia,IDR,699000,440811,535270,(Price change will apply to existing subscribers)
Iraq,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Ireland,EUR,44.99,25.6,31.09,(Price change will apply to existing subscribers)
Israel,ILS,149.9,104.93,127.42,(Price change will apply to existing subscribers)
Italy,EUR,44.99,25.6,31.22,(Price change will apply to existing subscribers)
Jamaica,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Japan,JPY,6000,3818,4636,(Price change will apply to existing subscribers)
Jordan,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Kazakhstan,KZT,22990.0,13873.28,16846.12,(Price change will apply to existing subscribers)
Kenya,USD,49.99,30.03,36.55,(Price change will apply to existing subscribers)
"Korea, Republic of",KRW,55000,35000,42500,(Price change will apply to existing subscribers)
Kosovo,EUR,44.99,26.69,32.41,(Price change will apply to existing subscribers)
Kuwait,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Kyrgyzstan,USD,39.99,24.99,30.35,(Price change will apply to existing subscribers)
Laos,USD,39.99,25.45,30.9,(Price change will apply to existing subscribers)
Latvia,EUR,44.99,26.03,31.6,(Price change will apply to existing subscribers)
Lebanon,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Liberia,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Libya,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Lithuania,EUR,44.99,26.03,31.6,(Price change will apply to existing subscribers)
Luxembourg,EUR,44.99,26.92,32.69,(Price change will apply to existing subscribers)
Macau,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Madagascar,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Malawi,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Malaysia,MYR,199.9,129.56,157.33,(Price change will apply to existing subscribers)
Maldives,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Mali,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Malta,EUR,44.99,26.69,32.41,(Price change will apply to existing subscribers)
Mauritania,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Mauritius,USD,49.99,30.43,36.95,(Price change will apply to existing subscribers)
Mexico,MXN,899.0,542.5,658.75,(Price change will apply to existing subscribers)
Micronesia,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Moldova,USD,49.99,29.16,35.41,(Price change will apply to existing subscribers)
Mongolia,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Montenegro,EUR,39.99,27.99,33.99,(Price change will apply to existing subscribers)
Montserrat,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Morocco,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Mozambique,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Myanmar,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Namibia,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Nauru,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Nepal,USD,49.99,30.35,36.85,(Price change will apply to existing subscribers)
Netherlands,EUR,44.99,26.03,31.6,(Price change will apply to existing subscribers)
New Zealand,NZD,69.99,42.6,51.73,(Price change will apply to existing subscribers)
Nicaragua,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Niger,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Nigeria,NGN,69900.0,45516.28,55269.77,(Price change will apply to existing subscribers)
North Macedonia,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Norway,NOK,499.0,279.44,339.32,(Price change will apply to existing subscribers)
Oman,USD,39.99,26.66,32.37,(Price change will apply to existing subscribers)
Pakistan,PKR,9900.0,6930.0,8415.0,(Price change will apply to existing subscribers)
Palau,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Panama,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Papua New Guinea,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Paraguay,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Peru,PEN,179.9,106.72,129.59,(Price change will apply to existing subscribers)
Philippines,PHP,2490.0,1556.25,1889.73,(Price change will apply to existing subscribers)
Poland,PLN,199.99,113.82,138.2,(Price change will apply to existing subscribers)
Portugal,EUR,44.99,25.6,31.09,(Price change will apply to existing subscribers)
Qatar,QAR,149.99,104.99,127.49,(Price change will apply to existing subscribers)
